"","Code.INSEE","Commune","Population.totale","Département","Région","Densité.d.habitants..hab.km2."
"1",78092,"Bougival",8472,"YVELINES","ILE-DE-FRANCE",3047.48201439
"2",91332,"Leudeville",1393,"ESSONNE","ILE-DE-FRANCE",177.905491699
"3",77243,"Lagny-sur-Marne",20306,"SEINE-ET-MARNE","ILE-DE-FRANCE",3501.03448276
"4",77418,"Saint-Loup-de-Naud",887,"SEINE-ET-MARNE","ILE-DE-FRANCE",80.9306569343
"5",77325,"Mouy-sur-Seine",360,"SEINE-ET-MARNE","ILE-DE-FRANCE",41.7633410673
"6",78681,"Villiers-le-Mahieu",700,"YVELINES","ILE-DE-FRANCE",101.449275362
"7",77514,"Villeparisis",24525,"SEINE-ET-MARNE","ILE-DE-FRANCE",2954.81927711
"8",94046,"Maisons-Alfort",53265,"VAL-DE-MARNE","ILE-DE-FRANCE",9918.99441341
"9",78517,"Rambouillet",25860,"YVELINES","ILE-DE-FRANCE",720.133667502
"10",78557,"Saint-Hilarion",897,"YVELINES","ILE-DE-FRANCE",62.8591450596
"11",95139,"La Chapelle-en-Vexin",331,"VAL-D'OISE","ILE-DE-FRANCE",89.4594594595
"12",91425,"Montlhéry",7019,"ESSONNE","ILE-DE-FRANCE",2114.15662651
"13",94074,"Valenton",11940,"VAL-DE-MARNE","ILE-DE-FRANCE",2248.58757062
"14",95611,"Theuville",27,"VAL-D'OISE","ILE-DE-FRANCE",5.38922155689
"15",77139,"Courtry",6280,"SEINE-ET-MARNE","ILE-DE-FRANCE",1516.90821256
"16",91179,"Le Coudray-Montceaux",4725,"ESSONNE","ILE-DE-FRANCE",412.663755459
"17",93053,"Noisy-le-Sec",40232,"SEINE-SAINT-DENIS","ILE-DE-FRANCE",7982.53968254
"18",77142,"Crécy-la-Chapelle",4250,"SEINE-ET-MARNE","ILE-DE-FRANCE",275.437459494
"19",77192,"Fontenay-Trésigny",5218,"SEINE-ET-MARNE","ILE-DE-FRANCE",235.788522368
"20",78372,"Marly-le-Roi",16645,"YVELINES","ILE-DE-FRANCE",2495.50224888
"21",78265,"Garancières",2395,"YVELINES","ILE-DE-FRANCE",230.732177264
"22",91441,"Nainville-les-Roches",463,"ESSONNE","ILE-DE-FRANCE",77.0382695507
"23",92022,"Chaville",18852,"HAUTS-DE-SEINE","ILE-DE-FRANCE",5280.67226891
"24",95116,"Bruyères-sur-Oise",3761,"VAL-D'OISE","ILE-DE-FRANCE",421.6367713
"25",78591,"Septeuil",2225,"YVELINES","ILE-DE-FRANCE",234.952481521
"26",77153,"Dammartin-en-Goële",8258,"SEINE-ET-MARNE","ILE-DE-FRANCE",917.555555556
"27",77122,"Combs-la-Ville",21908,"SEINE-ET-MARNE","ILE-DE-FRANCE",1503.63761153
"28",77410,"Saint-Germain-Laxis",506,"SEINE-ET-MARNE","ILE-DE-FRANCE",70.0831024931
"29",91148,"Chauffour-lès-Étréchy",138,"ESSONNE","ILE-DE-FRANCE",28.5123966942
"30",95151,"Chauvry",304,"VAL-D'OISE","ILE-DE-FRANCE",60.3174603175
"31",78528,"Rolleboise",406,"YVELINES","ILE-DE-FRANCE",134.88372093
"32",77373,"Pontault-Combault",36458,"SEINE-ET-MARNE","ILE-DE-FRANCE",2682.70787344
"33",77522,"Villiers-sur-Seine",303,"SEINE-ET-MARNE","ILE-DE-FRANCE",26.5323992995
"34",77224,"Hautefeuille",315,"SEINE-ET-MARNE","ILE-DE-FRANCE",32.012195122
"35",77365,"Le Plessis-Feu-Aussoux",545,"SEINE-ET-MARNE","ILE-DE-FRANCE",97.3214285714
"36",77019,"Balloy",325,"SEINE-ET-MARNE","ILE-DE-FRANCE",24.2899850523
"37",77183,"La Ferté-sous-Jouarre",9222,"SEINE-ET-MARNE","ILE-DE-FRANCE",921.278721279
"38",77345,"Orly-sur-Morin",672,"SEINE-ET-MARNE","ILE-DE-FRANCE",113.898305085
"39",91021,"Arpajon",10704,"ESSONNE","ILE-DE-FRANCE",4478.66108787
"40",95256,"Frépillon",2820,"VAL-D'OISE","ILE-DE-FRANCE",824.561403509
"41",91027,"Athis-Mons",29831,"ESSONNE","ILE-DE-FRANCE",3460.67285383
"42",91412,"Mondeville",687,"ESSONNE","ILE-DE-FRANCE",101.17820324
"43",95011,"Ambleville",424,"VAL-D'OISE","ILE-DE-FRANCE",52.736318408
"44",77175,"Évry-Grégy-sur-Yerre",2485,"SEINE-ET-MARNE","ILE-DE-FRANCE",129.900679561
"45",91086,"Bondoufle",9222,"ESSONNE","ILE-DE-FRANCE",1350.21961933
"46",77374,"Pontcarré",2014,"SEINE-ET-MARNE","ILE-DE-FRANCE",209.573361082
"47",77110,"Chenou",313,"SEINE-ET-MARNE","ILE-DE-FRANCE",22.7967953387
"48",95504,"Presles",3745,"VAL-D'OISE","ILE-DE-FRANCE",367.5171737
"49",95641,"Vémars",2201,"VAL-D'OISE","ILE-DE-FRANCE",266.142684401
"50",91191,"Crosne",9190,"ESSONNE","ILE-DE-FRANCE",3720.64777328
"51",95241,"Fontenay-en-Parisis",1894,"VAL-D'OISE","ILE-DE-FRANCE",172.652689152
"52",77439,"Salins",1026,"SEINE-ET-MARNE","ILE-DE-FRANCE",97.1590909091
"53",77400,"Saint-Augustin",1724,"SEINE-ET-MARNE","ILE-DE-FRANCE",167.054263566
"54",77476,"Trocy-en-Multien",265,"SEINE-ET-MARNE","ILE-DE-FRANCE",35.2862849534
"55",77477,"Ury",790,"SEINE-ET-MARNE","ILE-DE-FRANCE",95.2955367913
"56",77276,"Mareuil-lès-Meaux",2241,"SEINE-ET-MARNE","ILE-DE-FRANCE",312.116991643
"57",91226,"Étréchy",6318,"ESSONNE","ILE-DE-FRANCE",444.303797468
"58",77285,"Le Mée-sur-Seine",20693,"SEINE-ET-MARNE","ILE-DE-FRANCE",3721.76258993
"59",78443,"Neauphle-le-Vieux",811,"YVELINES","ILE-DE-FRANCE",106.013071895
"60",94016,"Cachan",28404,"VAL-DE-MARNE","ILE-DE-FRANCE",10217.2661871
"61",78548,"Saint-Forget",463,"YVELINES","ILE-DE-FRANCE",76.9102990033
"62",78653,"Vicq",338,"YVELINES","ILE-DE-FRANCE",75.4464285714
"63",77012,"Augers-en-Brie",304,"SEINE-ET-MARNE","ILE-DE-FRANCE",22.7204783259
"64",91468,"Ormoy",1894,"ESSONNE","ILE-DE-FRANCE",1023.78378378
"65",91273,"Gironville-sur-Essonne",814,"ESSONNE","ILE-DE-FRANCE",61.0652663166
"66",77088,"La Chapelle-la-Reine",2567,"SEINE-ET-MARNE","ILE-DE-FRANCE",160.638297872
"67",77329,"Nanteau-sur-Lunain",679,"SEINE-ET-MARNE","ILE-DE-FRANCE",51.0526315789
"68",77355,"Paroy",180,"SEINE-ET-MARNE","ILE-DE-FRANCE",42.1545667447
"69",94019,"Chennevières-sur-Marne",17963,"VAL-DE-MARNE","ILE-DE-FRANCE",3434.60803059
"70",78307,"Hermeray",956,"YVELINES","ILE-DE-FRANCE",52.0697167756
"71",78460,"Oinville-sur-Montcient",1111,"YVELINES","ILE-DE-FRANCE",290.078328982
"72",91549,"Sainte-Geneviève-des-Bois",34771,"ESSONNE","ILE-DE-FRANCE",3714.85042735
"73",91602,"Souzy-la-Briche",393,"ESSONNE","ILE-DE-FRANCE",53.3967391304
"74",94043,"Le Kremlin-Bicêtre",26131,"VAL-DE-MARNE","ILE-DE-FRANCE",16750.6410256
"75",92014,"Bourg-la-Reine",19982,"HAUTS-DE-SEINE","ILE-DE-FRANCE",10743.0107527
"76",95058,"Bernes-sur-Oise",2389,"VAL-D'OISE","ILE-DE-FRANCE",431.227436823
"77",77419,"Saint-Mammès",3180,"SEINE-ET-MARNE","ILE-DE-FRANCE",1419.64285714
"78",77420,"Saint-Mard",3816,"SEINE-ET-MARNE","ILE-DE-FRANCE",610.56
"79",77433,"Saints",1293,"SEINE-ET-MARNE","ILE-DE-FRANCE",64.5209580838
"80",78350,"Louveciennes",7186,"YVELINES","ILE-DE-FRANCE",1318.53211009
"81",78537,"Saint-Arnoult-en-Yvelines",6154,"YVELINES","ILE-DE-FRANCE",484.566929134
"82",91507,"Prunay-sur-Essonne",314,"ESSONNE","ILE-DE-FRANCE",61.811023622
"83",77093,"La Chapelle-Moutils",412,"SEINE-ET-MARNE","ILE-DE-FRANCE",21.1934156379
"84",91538,"Saint-Aubin",695,"ESSONNE","ILE-DE-FRANCE",195.774647887
"85",77525,"Vinantes",355,"SEINE-ET-MARNE","ILE-DE-FRANCE",67.1077504726
